37.0000;35.3213;1;Adana
37.7648;38.2786;2;Adiyaman
38.7507;30.5567;3;Afyon
39.7194;43.0513;4;Agri
40.6499;35.8353;5;Amasya
39.9208;32.8541;6;Ankara
36.8841;30.7056;7;Antalya
41.1828;41.8183;8;Artvin
37.8560;27.8416;9;Aydin
39.6484;27.8826;10;Balikesir
40.0567;30.0665;11;Bilecik
39.0626;40.7696;12;Bingol
38.3938;42.1232;13;Bitlis
40.5760;31.5788;14;Bolu
37.4613;30.0665;15;Burdur
40.2669;29.0634;16;Bursa
40.1553;26.4142;17;Canakkale
40.6013;33.6134;18;Cankiri
40.5506;34.9556;19;Corum
37.7765;29.0864;20;Denizli
37.9144;40.2306;21;Diyarbakir
41.6818;26.5623;22;Edirne
38.6810;39.2264;23;Elazig
39.7500;39.5000;24;Erzincan
39.9000;41.2700;25;Erzurum
39.7767;30.5206;26;Eskisehir
37.0662;37.3833;27;Gaziantap
40.9128;38.3895;28;Giresun
40.4386;39.5086;29;Gumusane
37.5833;43.7333;30;Hakkari
36.4018;36.3498;31;Hatay
37.7648;30.5566;32;Isparta
36.8000;34.6333;33;Mersin
41.0053;28.9770;34;Istanbul
38.4189;27.1287;35;Izmir
40.6167;43.1000;36;Kars
41.3887;33.7827;37;Kastamonu
38.7312;35.4787;38;Kayseri
41.7333;27.2167;39;Kirklareli
39.1425;34.1709;40;Kirsehir
40.8533;29.8815;41;Kocaeli
37.8667;32.4833;42;Konya
39.4167;29.9833;43;Kutahya
38.3552;38.3095;44;Malatya
38.6191;27.4289;45;Manisa
37.5858;36.9371;46;K.Maras
37.3212;40.7245;47;Mardin
37.2153;28.3636;48;Mugla
38.9462;41.7539;49;Mus
38.6939;34.6857;50;Nevsehir
37.9667;34.6833;51;Nigde
40.9839;37.8764;52;Ordu
41.0201;40.5234;53;Rize
40.6940;30.4358;54;Sakarya
41.2928;36.3313;55;Samsun
37.9333;41.9500;56;Siirt
42.0231;35.1531;57;Sinop
39.7477;37.0179;58;Sivas
40.9833;27.5167;59;Tekirdag
40.3167;36.5500;60;Tokat
41.0015;39.7178;61;Trabzon
39.3074;39.4388;62;Tunceli
37.1591;38.7969;63;Sanliurfa
38.6823;29.4082;64;Usak
38.4891;43.4089;65;Van
39.8181;34.8147;66;Yozgat
41.4564;31.7987;67;Zonguldak
38.3687;34.0370;68;Aksaray
40.2552;40.2249;69;Bayburt
37.1759;33.2287;70;Karaman
39.8468;33.5153;71;Kirikkale
37.8812;41.1351;72;Batman
37.4187;42.4918;73;Sirnak
41.5811;32.4610;74;Bartin
41.1105;42.7022;75;Ardahan
39.8880;44.0048;76;Igdir
40.6500;29.2667;77;Yalova
41.2061;32.6204;78;Karabuk
36.7184;37.1212;79;Kilis
37.2130;36.1763;80;Osmaniye
40.8438;31.1565;81;Duzce
